machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,clang,0,3,hyper,34,q3 hyper,301.664,56003.94,0.0,0.0,774666.0,135380034549.0,86729937336.0,,1507131636.0,63506902412.0,1433132071.0,2224959073.0,1968832780.0,48045938781.0,1167905.0,68052464160.0,1218159720.0,69861721484.0,110378.0,,
parmesan,gcc,0,3,hyper,34,q3 hyper,302.626,56052.22,0.0,0.0,774609.0,134533087592.0,88210747809.0,,1515837627.0,64522356733.0,1482475865.0,2253766075.0,1990985219.0,48489904552.0,1097681.0,63524016810.0,1159696718.0,64173576335.0,92402.0,,
parmesan,gcc,0,3,vectorwise,34,q3 vectorwise,55.841,20469.53,0.0,0.0,353298.0,37836708662.0,105674941295.0,,70379906.0,29001175731.0,194926810.0,1256965396.0,1162397691.0,19062791577.0,1300258.0,24649768940.0,65480216.0,3080296971.0,118351.0,,
parmesan,clang,0,3,vectorwise,35,q3 vectorwise,54.787,22881.34,0.0,0.0,371987.0,49459049450.0,140580244827.0,,72868731.0,32526993246.0,211190391.0,1261351205.0,1282294830.0,22784354522.0,1551695.0,31037074228.0,93277403.0,2759136282.0,137556.0,,
parmesan,clang,0,3,hyper,35,q3 hyper,295.4,56102.13,0.0,0.0,775094.0,135259531203.0,87737220202.0,,1545219937.0,64268198034.0,1468568139.0,2227128852.0,1995300927.0,49261930578.0,951393.0,67060868316.0,1267001670.0,69521680083.0,118990.0,,
parmesan,gcc,0,3,hyper,35,q3 hyper,295.613,56284.32,0.0,0.0,775046.0,135056711203.0,88046220670.0,,1528691283.0,65553873934.0,1560383293.0,2274407628.0,1973507508.0,48323031484.0,1072846.0,64425408619.0,1234998840.0,68254270773.0,123576.0,,
parmesan,gcc,0,3,vectorwise,35,q3 vectorwise,57.077,21168.27,0.0,0.0,358640.0,39775628197.0,109472414982.0,,67519877.0,31114635825.0,192270514.0,1217444591.0,1121234457.0,22030836473.0,1440230.0,25001244209.0,63635413.0,3048103785.0,120458.0,,
parmesan,clang,0,3,hyper,36,q3 hyper,290.126,56509.16,0.0,0.0,778639.0,134892434359.0,89486733247.0,,1493285246.0,64972390673.0,1523328108.0,2229861260.0,2000632286.0,50332539988.0,1035432.0,66599251595.0,1271731345.0,69484756923.0,130747.0,,
parmesan,clang,0,3,vectorwise,36,q3 vectorwise,55.205,22949.06,0.0,0.0,372106.0,40726769685.0,115797481157.0,,80621179.0,31949630550.0,214474280.0,1373477905.0,1241843342.0,24095019227.0,1399040.0,32876939983.0,74879000.0,4051551781.0,121950.0,,
parmesan,gcc,0,3,vectorwise,36,q3 vectorwise,56.63,21763.92,0.0,0.0,358800.0,39107286238.0,105990276388.0,,65269368.0,31849827375.0,207656121.0,1270949520.0,1237309417.0,22274871889.0,1682377.0,25172284891.0,64964924.0,2924534098.0,132733.0,,
parmesan,gcc,0,3,hyper,36,q3 hyper,289.608,56400.02,0.0,0.0,778580.0,136268924638.0,87590123788.0,,1507444212.0,65343458372.0,1510368267.0,2260501484.0,1997595980.0,48480478803.0,986065.0,64256513778.0,1225813229.0,69098479700.0,118568.0,,
parmesan,clang,0,3,hyper,37,q3 hyper,284.79,56999.92,0.0,0.0,776128.0,134370264903.0,91755659300.0,,1608766273.0,65029377251.0,1531617634.0,2289785155.0,2041635134.0,49922174701.0,1025978.0,63606819625.0,1202660955.0,62120159994.0,109122.0,,
parmesan,clang,0,3,vectorwise,37,q3 vectorwise,54.992,23387.89,0.0,0.0,371809.0,42917340886.0,122982262297.0,,80039315.0,33368287958.0,207789995.0,1368003259.0,1244954986.0,22787790868.0,1469278.0,31860308478.0,82114037.0,3807780582.0,115932.0,,
parmesan,gcc,0,3,vectorwise,37,q3 vectorwise,52.935,22823.15,0.0,0.0,371809.0,41238786048.0,110469067943.0,,74458816.0,32168976367.0,216746180.0,1372915675.0,1300257758.0,21512467080.0,1620333.0,28909282430.0,80918717.0,3104354475.0,115412.0,,
parmesan,gcc,0,3,hyper,37,q3 hyper,283.734,56575.65,0.0,0.0,775992.0,128334479991.0,90159672865.0,,1532869712.0,65107709977.0,1499042834.0,2265629015.0,2026002994.0,50198900500.0,1070303.0,67334062035.0,1238302079.0,66332879886.0,133900.0,,
parmesan,clang,0,3,hyper,38,q3 hyper,278.264,56807.6,0.0,0.0,776500.0,126991423502.0,88302708285.0,,1612832400.0,65605332453.0,1540796139.0,2348631971.0,2046520064.0,50082040598.0,1154829.0,63463188798.0,1219784568.0,59488194484.0,104630.0,,
parmesan,clang,0,3,vectorwise,38,q3 vectorwise,55.614,22371.62,0.0,0.0,353084.0,41642963534.0,118412781060.0,,65245708.0,31520638874.0,204048593.0,1296917429.0,1181152166.0,23106790286.0,1462955.0,30341402934.0,64592347.0,2927004084.0,119283.0,,
