machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,gcc,0,5,hyper,72,q5 hyper,131.708,59862.93,0.0,0.0,530862.0,150187884966.0,107810352625.0,,610567620.0,57906857167.0,1635608936.0,2278693558.0,1873098049.0,26792915810.0,1706098.0,51754442396.0,1739406807.0,21839298585.0,208170.0,,
parmesan,gcc,0,5,vectorwise,72,q5 vectorwise,125.142,50493.64,0.0,0.0,518671.0,117412831789.0,121306812727.0,,305752677.0,46593766755.0,1626280928.0,2219732968.0,1830404984.0,25617223414.0,2011395.0,45535895775.0,1420349239.0,16141787842.0,152378.0,,
parmesan,clang,0,5,vectorwise,72,q5 vectorwise,128.228,51756.94,0.0,0.0,525051.0,120167291167.0,151912468580.0,,295635482.0,52510088154.0,1550186073.0,2166993957.0,1817300882.0,26617316706.0,2272600.0,45938388931.0,1450251806.0,16301102516.0,127860.0,,
parmesan,clang,0,5,hyper,72,q5 hyper,131.245,59657.07,0.0,0.0,530685.0,150719284536.0,109721568084.0,,585576112.0,58773541186.0,1733323732.0,2464998682.0,2002212437.0,26653626470.0,1695996.0,50072624889.0,1691776948.0,22429443146.0,151928.0,,
parmesan,gcc,0,5,hyper,73,q5 hyper,130.606,53032.01,0.0,0.0,491193.0,130403668824.0,143480295274.0,,420400866.0,54251976712.0,1487389336.0,2104400436.0,1661114269.0,27674438043.0,1921530.0,45287263986.0,1318771674.0,19948324420.0,151407.0,,
parmesan,gcc,0,5,vectorwise,73,q5 vectorwise,130.165,56620.95,0.0,0.0,515207.0,128414006548.0,237562807548.0,,280195172.0,65255348506.0,1463250056.0,2000786658.0,1619435858.0,48507703812.0,2658589.0,65376418253.0,1429769882.0,16594537124.0,200011.0,,
parmesan,clang,0,5,vectorwise,73,q5 vectorwise,127.583,51740.45,0.0,0.0,518454.0,119356924440.0,155806238231.0,,295396377.0,53522731674.0,1534998238.0,2161571407.0,1797610272.0,27469429654.0,2386383.0,45301115098.0,1447129574.0,16142154880.0,108438.0,,
parmesan,clang,0,5,hyper,73,q5 hyper,129.76,51757.02,0.0,0.0,491120.0,122646752049.0,112241382324.0,,469836559.0,51136890967.0,1525321225.0,2139814403.0,1702719482.0,25316124554.0,1762829.0,42397704689.0,1270063786.0,20376810710.0,171690.0,,
parmesan,gcc,0,5,hyper,74,q5 hyper,128.569,59776.03,0.0,0.0,538276.0,148051221149.0,107919451718.0,,620652129.0,58048285391.0,1719066535.0,2412757649.0,1894268697.0,27462186716.0,1968135.0,52428390035.0,1743560617.0,23053265632.0,197325.0,,
parmesan,gcc,0,5,vectorwise,74,q5 vectorwise,128.475,53260.37,0.0,0.0,525070.0,124201462628.0,158032127472.0,,301734232.0,52387622718.0,1632014376.0,2273408053.0,1885480264.0,27540901188.0,2273939.0,47042346582.0,1468758464.0,16257637149.0,138575.0,,
