machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,clang,0,1,vectorwise,19,q1 vectorwise,468.427,54825.83,0.0,0.0,357845.0,146235239216.0,448717578417.0,,91201626.0,200411559416.0,1378748543.0,2179692386.0,2176214624.0,74331710597.0,518537.0,194927050996.0,42996025.0,5300292592.0,23868.0,,
parmesan,clang,0,1,hyper,19,q1 hyper,219.596,26167.3,0.0,0.0,349484.0,68748230059.0,276352290524.0,,50967644.0,133482590346.0,1103582206.0,2058470235.0,2070671221.0,39662852693.0,247556.0,134280484627.0,38627682.0,2920983667.0,11139.0,,
parmesan,gcc,0,1,hyper,20,q1 hyper,210.608,26451.75,0.0,0.0,349534.0,68685283658.0,274900665807.0,,51065609.0,133924942194.0,1179457533.0,2106865447.0,2100376401.0,39797063617.0,185884.0,133020855213.0,37057600.0,2694172961.0,31723.0,,
parmesan,gcc,0,1,vectorwise,20,q1 vectorwise,445.574,54854.91,0.0,0.0,356278.0,146194294039.0,446443692584.0,,89606051.0,200575164898.0,1380655185.0,2189698972.0,2184129620.0,74403764989.0,638129.0,200585851448.0,43669959.0,5350288523.0,31142.0,,
parmesan,clang,0,1,hyper,20,q1 hyper,208.673,26182.04,0.0,0.0,349519.0,68167593823.0,275934508922.0,,51377069.0,134187102433.0,1126518976.0,2110277845.0,2103159013.0,39671328475.0,187837.0,132956842626.0,35593480.0,2700680648.0,34236.0,,
parmesan,clang,0,1,vectorwise,20,q1 vectorwise,445.53,54919.96,0.0,0.0,356378.0,146079206991.0,446138757143.0,,89902201.0,200205273681.0,1386613291.0,2183370025.0,2178877244.0,74385256194.0,632611.0,200754388810.0,44404264.0,5421083361.0,30982.0,,
parmesan,gcc,0,1,hyper,21,q1 hyper,199.257,26254.15,0.0,0.0,349616.0,69064624906.0,276444617454.0,,50919308.0,133645882272.0,1131090270.0,1963628372.0,1966836265.0,37704168223.0,124307.0,128237457138.0,38552489.0,2956461385.0,44876.0,,
parmesan,gcc,0,1,vectorwise,21,q1 vectorwise,424.737,54900.43,0.0,0.0,356069.0,148153915932.0,450796392799.0,,90610389.0,199662220608.0,1346748894.0,2133518796.0,2138683247.0,73253090781.0,682462.0,201894638534.0,43857987.0,5420830792.0,36639.0,,
parmesan,clang,0,1,hyper,21,q1 hyper,199.383,26246.76,0.0,0.0,349602.0,69132476704.0,276534400916.0,,50946151.0,133433579052.0,1136645259.0,2105498604.0,1955595466.0,37451622099.0,149866.0,127520166290.0,37446677.0,2955263480.0,52163.0,,
parmesan,clang,0,1,vectorwise,21,q1 vectorwise,424.573,55224.84,0.0,0.0,355805.0,148979121505.0,457380152541.0,,89904557.0,200994031469.0,1367957413.0,2106184441.0,2108119154.0,73991231544.0,641725.0,199696526927.0,44292277.0,5466507952.0,28087.0,,
parmesan,gcc,0,1,vectorwise,22,q1 vectorwise,404.943,54752.0,0.0,0.0,359419.0,148014188989.0,448302583356.0,,90047151.0,200331496991.0,1378678534.0,2181501996.0,2171125195.0,73307543870.0,751113.0,199764350515.0,43084167.0,5405037178.0,36510.0,,
parmesan,gcc,0,1,hyper,22,q1 hyper,189.969,26205.66,0.0,0.0,349693.0,69127623285.0,277355968356.0,,51118031.0,134036407118.0,1149206777.0,2040367238.0,2052112960.0,39270057206.0,167292.0,133718503772.0,38530692.0,2945257685.0,11251.0,,
parmesan,clang,0,1,vectorwise,22,q1 vectorwise,405.243,54822.26,0.0,0.0,358919.0,148358184234.0,448662433901.0,,90687157.0,200479806004.0,1391603444.0,2183043601.0,2178325413.0,74575579011.0,749359.0,198973965420.0,43055216.0,5393907273.0,25521.0,,
parmesan,clang,0,1,hyper,22,q1 hyper,191.783,26451.25,0.0,0.0,349681.0,69786609396.0,277196056208.0,,51048208.0,133916369832.0,1155305030.0,2023898757.0,2035843544.0,39041923837.0,156410.0,133535768700.0,38679904.0,2947949449.0,14216.0,,
parmesan,gcc,0,1,vectorwise,23,q1 vectorwise,387.591,55479.06,0.0,0.0,362178.0,149520827618.0,457135463656.0,,90342184.0,196630654895.0,1328443660.0,2110957330.0,2115239053.0,75821629142.0,1086105.0,202994971814.0,44207986.0,5484795990.0,10366.0,,
parmesan,gcc,0,1,hyper,23,q1 hyper,182.344,26302.96,0.0,0.0,349741.0,67172588915.0,271700254922.0,,50508148.0,133506650322.0,1170271807.0,2112407437.0,2096715796.0,39610347086.0,388676.0,134547246097.0,38108480.0,2812110931.0,7596.0,,
parmesan,clang,0,1,vectorwise,23,q1 vectorwise,387.993,55001.77,0.0,0.0,361483.0,143332029198.0,437091224422.0,,88338774.0,196560110163.0,1361308604.0,2173165391.0,2173225700.0,74719841115.0,655313.0,201946425178.0,43434170.0,5436592678.0,2105.0,,
parmesan,clang,0,1,hyper,23,q1 hyper,182.695,26331.3,0.0,0.0,349755.0,67751877824.0,273404519986.0,,50868951.0,134284115951.0,1169590123.0,2106258753.0,2091113286.0,39550990007.0,298718.0,134624281752.0,38195736.0,2863764661.0,7723.0,,
parmesan,clang,0,1,hyper,24,q1 hyper,174.648,26284.18,0.0,0.0,349850.0,69885831234.0,279266621858.0,,51299753.0,133689538264.0,1143083501.0,2085812125.0,2074234070.0,39288377766.0,247889.0,130547941329.0,37295526.0,2913818659.0,8269.0,,
parmesan,clang,0,1,vectorwise,24,q1 vectorwise,371.433,55307.31,0.0,0.0,358998.0,149198380715.0,460213658003.0,,88710169.0,200645898693.0,1358408984.0,2162832125.0,2150118161.0,75026040983.0,490712.0,201832000386.0,43713981.0,5423441387.0,9579.0,,
