,machine,compiler,repetition,query,engine,threads,query_label,time,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
5116,burrata,clang,0,9,hyper,122,q9 hyper,1465.111,964389.43,296600.0,136.0,1378675.0,2798231377163.0,1484980235786.0,,1437068436.0,408169839786.0,8130157828.0,,,408814667606.0,126779307.0,443725147378.0,5774859227.0,249504260993.0,584823.0,,
5117,burrata,clang,0,9,vectorwise,122,q9 vectorwise,720.011,467858.45,485713.0,755.0,1432166.0,1328032304155.0,433172492776.0,,1905606275.0,140445042012.0,8868081756.0,,,156338444700.0,98357178.0,209536596328.0,6177366952.0,126156144161.0,515286.0,,
5118,burrata,gcc,0,9,hyper,122,q9 hyper,815.186,500964.19,249173.0,151.0,1391952.0,1421003904694.0,307184008127.0,,1477465319.0,110281309290.0,8031109993.0,,,112482911275.0,86990835.0,180341182434.0,5732091906.0,98773516431.0,587369.0,,
5119,burrata,gcc,0,9,vectorwise,122,q9 vectorwise,715.922,474973.6,390289.0,751.0,1428769.0,1350456053392.0,541247699194.0,,2243015885.0,138730096243.0,8794517753.0,,,203366707692.0,83992160.0,194136786257.0,6190866439.0,192024855586.0,479416.0,,
5120,burrata,clang,1,9,hyper,122,q9 hyper,1424.257,967773.63,251308.0,69.0,1377698.0,2818823267856.0,1521138028483.0,,1389047083.0,409435286727.0,8103041607.0,,,414241621010.0,116572125.0,448389184021.0,5776353970.0,257839610070.0,549728.0,,
5121,burrata,clang,1,9,vectorwise,122,q9 vectorwise,723.691,467715.41,320048.0,748.0,1432248.0,1329423731457.0,398800725336.0,,1894479310.0,134214021754.0,8874861711.0,,,150009837218.0,96315604.0,206372246752.0,6182305651.0,122550625336.0,487257.0,,
5122,burrata,gcc,1,9,hyper,122,q9 hyper,857.779,512854.16,200761.0,134.0,1373989.0,1462275282139.0,305252923941.0,,1491665903.0,111639993073.0,8034628657.0,,,115916682027.0,84343090.0,181845462954.0,5712397760.0,97720254431.0,626576.0,,
5123,burrata,gcc,1,9,vectorwise,122,q9 vectorwise,718.176,462107.43,323975.0,744.0,1432850.0,1311396392650.0,428077574824.0,,2284511870.0,120812761150.0,8866069449.0,,,166980572368.0,85279609.0,176845857188.0,6247504138.0,159554209528.0,480146.0,,
5124,burrata,clang,0,9,hyper,123,q9 hyper,1409.487,965107.26,314448.0,133.0,1379385.0,2800360546544.0,1504042491589.0,,1417754250.0,409434280789.0,8125467988.0,,,410896855456.0,127664563.0,444595141445.0,5771348070.0,252625027270.0,568279.0,,
5125,burrata,clang,0,9,vectorwise,123,q9 vectorwise,718.748,470555.01,396217.0,752.0,1432693.0,1337262953984.0,403101126355.0,,1902522661.0,135607075361.0,8926663198.0,,,150825428155.0,94945852.0,206590049597.0,6192437024.0,121973986547.0,532487.0,,
5126,burrata,gcc,0,9,hyper,123,q9 hyper,783.653,508312.16,161598.0,168.0,1386019.0,1450625995374.0,312586123369.0,,1492342162.0,111674594897.0,8012464970.0,,,116488760115.0,83704478.0,183496989861.0,5720751556.0,102978073420.0,613733.0,,
5127,burrata,gcc,0,9,vectorwise,123,q9 vectorwise,774.519,472699.99,454766.0,745.0,1435605.0,1340517352512.0,463507020921.0,,2278835230.0,127231344320.0,8866114406.0,,,179845685475.0,89051173.0,183043707400.0,6234215501.0,169648423736.0,534314.0,,
5128,burrata,clang,1,9,hyper,123,q9 hyper,1455.216,965519.9,372034.0,70.0,1386216.0,2802079486366.0,1519790833417.0,,1433434674.0,414635526891.0,8107964005.0,,,419738251470.0,130284305.0,448274226362.0,5770711901.0,258306549644.0,528946.0,,
5129,burrata,clang,1,9,vectorwise,123,q9 vectorwise,730.463,481030.25,245007.0,748.0,1431812.0,1367564696804.0,595630021517.0,,1894182502.0,161806210903.0,8859426693.0,,,194950347995.0,94803724.0,230375485921.0,6162202989.0,165327531044.0,536971.0,,
5130,burrata,gcc,1,9,hyper,123,q9 hyper,793.15,513186.32,424400.0,155.0,1371961.0,1462207814742.0,307097706992.0,,1488498542.0,111092566190.0,8009309644.0,,,114571812186.0,90005794.0,183303945463.0,5722284029.0,99359319451.0,590620.0,,
5131,burrata,gcc,1,9,vectorwise,123,q9 vectorwise,719.018,478707.14,336063.0,761.0,1435699.0,1364493029572.0,563831893596.0,,2262222872.0,142831657311.0,8810125405.0,,,212040345000.0,84642746.0,197292492348.0,6199455547.0,199314386627.0,495454.0,,
5132,burrata,clang,0,9,hyper,124,q9 hyper,1399.481,974198.2,529750.0,148.0,1378373.0,2833419003458.0,1539433096061.0,,1412746550.0,416019742080.0,8107611822.0,,,425161554306.0,125063585.0,451703700086.0,5761101951.0,264753724330.0,564248.0,,
5133,burrata,clang,0,9,vectorwise,124,q9 vectorwise,720.579,484264.69,321775.0,775.0,1429625.0,1376952287576.0,526341277668.0,,1894911965.0,153601990708.0,8831665150.0,,,183064194307.0,99337246.0,223235873691.0,6156881087.0,149128846570.0,531044.0,,
5134,burrata,gcc,0,9,hyper,124,q9 hyper,798.423,524243.17,312485.0,139.0,1379021.0,1488621920733.0,332939483734.0,,1470759230.0,113798111490.0,7985976842.0,,,122061553062.0,90555821.0,186333040421.0,5745317051.0,108902609732.0,638142.0,,
5135,burrata,gcc,0,9,vectorwise,124,q9 vectorwise,789.901,512497.13,359341.0,758.0,1433179.0,1461265664088.0,793047390290.0,,2281505623.0,181706549770.0,8909238159.0,,,286098066161.0,87964712.0,235236045654.0,6258744558.0,275685804651.0,489704.0,,
5136,burrata,clang,1,9,hyper,124,q9 hyper,1457.615,973777.61,483162.0,110.0,1378238.0,2828519612597.0,1539860555467.0,,1415249638.0,415410687742.0,8127341085.0,,,423955838515.0,129882428.0,449380312137.0,5759636772.0,261141341069.0,643671.0,,
5137,burrata,clang,1,9,vectorwise,124,q9 vectorwise,723.178,502097.61,251165.0,738.0,1432933.0,1434012519879.0,773942822557.0,,1866722796.0,193323771339.0,8745400085.0,,,249371201242.0,93492345.0,261159759966.0,6112251793.0,195737624556.0,450783.0,,
5138,burrata,gcc,1,9,hyper,124,q9 hyper,825.683,520355.53,508987.0,150.0,1374377.0,1486464371084.0,345531754702.0,,1471728927.0,117499040763.0,7976228049.0,,,127750654566.0,89014124.0,190914431263.0,5709671117.0,111571787822.0,618999.0,,
5139,burrata,gcc,1,9,vectorwise,124,q9 vectorwise,730.416,472195.66,359737.0,758.0,1430074.0,1341143222030.0,462137234806.0,,2272718670.0,126256441609.0,8826553080.0,,,177426477172.0,85437314.0,182167258829.0,6254477598.0,170092723798.0,513553.0,,
5140,burrata,clang,0,9,hyper,125,q9 hyper,1385.623,970282.71,414498.0,159.0,1377935.0,2819483837652.0,1514102002826.0,,1430537587.0,412675584467.0,8133395158.0,,,416054479942.0,128194308.0,446871292620.0,5779921273.0,256429859187.0,552302.0,,
5141,burrata,clang,0,9,vectorwise,125,q9 vectorwise,769.347,493672.77,193293.0,760.0,1432651.0,1402710612027.0,612727701046.0,,1924730363.0,164948809015.0,8946507457.0,,,207596226081.0,98336792.0,234801112606.0,6215102112.0,179670058491.0,603431.0,,
5142,burrata,gcc,0,9,hyper,125,q9 hyper,782.372,519883.52,278958.0,199.0,1379225.0,1484265257849.0,326797391088.0,,1489210835.0,113809980389.0,8005132076.0,,,119449123357.0,84560226.0,186723992606.0,5712213978.0,107191456925.0,647306.0,,
5143,burrata,gcc,0,9,vectorwise,125,q9 vectorwise,715.971,486692.06,330313.0,771.0,1433048.0,1383227150456.0,574506459996.0,,2264657497.0,145589626220.0,8788618829.0,,,217114146647.0,87261795.0,200075297939.0,6177560366.0,204932747369.0,533144.0,,
