machine,compiler,repetition,query,engine,threads,query_label,time_seconds,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
dubliner,gcc,0,1,vectorwise,31,q1 vectorwise,649.838,113517.28,2936.0,185.0,362622.0,283735812742.0,374783924768.0,44951569904.0,96913620.0,139524409315.0,7688287508.0,80927590.0,58268131.0,,31608826.0,141620998444.0,10151363.0,313041.0,1050563.0,,
dubliner,gcc,0,1,hyper,33,q1 hyper,283.169,50543.56,2218.0,41.0,351846.0,136002216002.0,264979080217.0,30068274895.0,58117215.0,135117701871.0,2399851963.0,49672684.0,37300740.0,,15586735.0,134475001923.0,16020121.0,154717.0,544776.0,,
dubliner,gcc,0,1,vectorwise,33,q1 vectorwise,618.991,112165.9,4817.0,206.0,363636.0,279404232855.0,371856705683.0,44694987119.0,100663135.0,140555261560.0,7769397254.0,84177965.0,60360705.0,,33476236.0,142765611754.0,9721975.0,288387.0,1078358.0,,
dubliner,gcc,0,1,hyper,34,q1 hyper,273.302,54302.35,2323.0,55.0,352310.0,149278987548.0,264535287040.0,30019624948.0,58496246.0,135271465690.0,2407715132.0,47993230.0,36568511.0,,14679634.0,134876953067.0,18372925.0,75106.0,993368.0,,
dubliner,gcc,0,1,vectorwise,34,q1 vectorwise,581.452,111115.27,3380.0,217.0,364955.0,276245427619.0,371049402896.0,44642882902.0,100646190.0,140647592404.0,7727933213.0,69473059.0,48511496.0,,36669628.0,140465871033.0,9980375.0,525835.0,1012317.0,,
dubliner,gcc,0,1,vectorwise,35,q1 vectorwise,541.546,111573.08,3918.0,232.0,363011.0,277868676979.0,372232442276.0,44805482850.0,99981323.0,140984417432.0,7723569098.0,65398748.0,44188886.0,,32529955.0,140137162874.0,9660786.0,317041.0,985997.0,,
dubliner,gcc,0,1,hyper,35,q1 hyper,249.044,50871.76,2446.0,33.0,351840.0,138970197220.0,265325404123.0,29820870267.0,56749522.0,133868019666.0,2374150717.0,45266879.0,34860911.0,,15638362.0,136723622777.0,17904521.0,82403.0,334225.0,,
dubliner,gcc,0,1,hyper,36,q1 hyper,339.431,57597.25,2614.0,44.0,352849.0,150854236413.0,277752406780.0,32896001020.0,61309945.0,137871749835.0,2453217985.0,107295727.0,86901224.0,,16993443.0,137566332342.0,16849545.0,194446.0,3302159.0,,
dubliner,gcc,0,1,vectorwise,36,q1 vectorwise,646.779,117156.84,3439.0,227.0,364030.0,291510448674.0,373684812939.0,45219031068.0,100801436.0,141214621902.0,7840072146.0,132954094.0,122045987.0,,35725210.0,141287220191.0,9858672.0,352112.0,906259.0,,
dubliner,gcc,0,1,hyper,38,q1 hyper,254.517,56879.37,2280.0,52.0,352464.0,157504136127.0,265232717922.0,30094887274.0,58112413.0,134146960077.0,2353674334.0,47212876.0,36450125.0,,16720141.0,133954844752.0,18209125.0,159852.0,451608.0,,
